Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.540001,43.075001,42.314999,43.064999,41.105534,102223600
2018-01-03,43.132500,43.637501,42.990002,43.057499,41.098373,118071600
2018-01-04,43.134998,43.367500,43.020000,43.257500,41.289268,89738400
2018-01-05,43.360001,43.842499,43.262501,43.750000,41.759361,94640000
2018-01-08,43.587502,43.902500,43.482498,43.587502,41.604263,82271200
2018-01-09,43.637501,43.764999,43.352501,43.582500,41.599483,86336000
2018-01-10,43.290001,43.575001,43.250000,43.572498,41.589939,95839600
2018-01-11,43.647499,43.872501,43.622501,43.820000,41.826172,74670800
2018-01-12,44.044998,44.340000,43.912498,44.272499,42.258091,101672400
2018-01-16,44.474998,44.847500,44.035000,44.047501,42.043327,118263600
2018-01-17,44.037498,44.812500,43.767502,44.775002,42.737732,137547200
2018-01-18,44.842499,45.025002,44.562500,44.814999,42.775909,124773600
2018-01-19,44.652500,44.895000,44.352501,44.615002,42.585007,129700400
2018-01-22,44.325001,44.445000,44.150002,44.250000,42.236618,108434400
2018-01-23,44.325001,44.860001,44.205002,44.259998,42.246162,130756400
2018-01-24,44.312500,44.325001,43.299999,43.555000,41.573235,204420400
2018-01-25,43.627499,43.737499,42.632500,42.777500,40.831116,166116000
2018-01-26,43.000000,43.000000,42.514999,42.877499,40.926556,156572000
2018-01-29,42.540001,42.540001,41.767502,41.990002,40.079441,202561600
2018-01-30,41.382500,41.842499,41.174999,41.742500,39.843208,184192800
