Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.059998,75.150002,73.797501,75.087502,73.840042,135480400
2020-01-03,74.287498,75.144997,74.125000,74.357498,73.122154,146322800
2020-01-06,73.447502,74.989998,73.187500,74.949997,73.704819,118387200
2020-01-07,74.959999,75.224998,74.370003,74.597504,73.358185,108872000
2020-01-08,74.290001,76.110001,74.290001,75.797501,74.538239,132079200
2020-01-09,76.809998,77.607498,76.550003,77.407501,76.121498,170108400
2020-01-10,77.650002,78.167503,77.062500,77.582497,76.293579,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,77.923538,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,76.871323,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,76.541885,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,77.500694,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,78.358696,137816400
2020-01-21,79.297501,79.754997,79.000000,79.142502,77.827667,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,78.105476,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,78.481621,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,78.255440,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,75.954315,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,78.103012,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,79.737900,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,79.622337,126743200
